,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP	
163196,GEOMETRIC,EQ,76.5,77.8,74.2,75.0,75.1,75.6,133726,10191564.55,19-JAN-2011	
165026,GEOMETRIC,EQ,60.1,61.95,58.3,60.05,60.0,60.0,72763,4382249.3,19-JAN-2012	
166059,GEOMETRIC,EQ,68.75,71.9,68.75,69.25,69.4,68.4,109717,7737906.55,03-APR-2012	
166931,GEOMETRIC,EQ,129.55,136.85,129.55,134.5,134.7,129.9,732307,98662611.35,19-JAN-2015	
168868,GEOMETRIC,EQ,52.0,52.4,51.55,52.05,51.85,52.2,31794,1655503.05,19-JUL-2011	
170723,GEOMETRIC,EQ,71.35,73.9,70.65,72.6,73.0,70.35,153120,11147836.4,19-JUL-2012	
172503,GEOMETRIC,EQ,135.0,135.0,132.55,133.15,133.35,136.8,176193,23544100.4,27-MAY-2015	
172578,GEOMETRIC,EQ,105.0,110.4,104.5,108.1,107.4,105.3,435923,47417881.4,19-JUL-2013	
174341,GEOMETRIC,EQ,66.85,68.5,66.1,67.95,68.45,66.8,30901,2072601.1,19-JUN-2012	
176172,GEOMETRIC,EQ,102.95,109.45,102.95,107.85,107.5,103.55,121892,12950915.3,19-JUN-2013	
177962,GEOMETRIC,EQ,139.55,142.0,136.4,137.05,137.15,139.55,156888,21757192.5,19-JUN-2014	
179904,GEOMETRIC,EQ,113.4,114.3,110.4,112.1,112.4,112.9,277746,31252074.9,19-JUN-2015	
181507,GEOMETRIC,EQ,70.9,71.8,69.0,69.1,69.15,70.5,85513,5988357.7,26-AUG-2010	
181828,GEOMETRIC,EQ,67.15,68.4,65.2,65.95,66.2,68.15,47654,3161238.0,19-MAR-2012	
183715,GEOMETRIC,EQ,102.8,102.95,97.55,101.75,101.8,101.95,108737,10937642.1,19-MAR-2013	
185261,GEOMETRIC,EQ,106.05,106.05,101.75,103.25,102.9,106.8,101996,10616998.9,03-APR-2013	
185622,GEOMETRIC,EQ,117.2,118.0,113.5,114.3,114.1,115.95,517629,60149387.5,19-MAR-2014	
187567,GEOMETRIC,EQ,173.65,176.25,170.0,172.45,174.6,170.75,795535,137536468.6,19-MAR-2015	
189465,GEOMETRIC,EQ,58.8,58.8,57.6,58.2,58.3,58.3,20582,1198190.65,19-MAY-2011	
191280,GEOMETRIC,EQ,113.0,114.0,105.05,108.15,108.55,111.8,535674,57631329.85,19-MAY-2014	
191689,GEOMETRIC,EQ,110.0,111.75,107.4,108.5,108.5,108.85,392019,42921793.35,27-NOV-2012	
193249,GEOMETRIC,EQ,137.0,141.85,135.55,136.7,137.5,137.4,389300,53950974.85,19-MAY-2015	
195153,GEOMETRIC,EQ,65.05,74.0,65.05,69.7,69.55,71.65,166067,11871313.95,19-NOV-2010	
196966,GEOMETRIC,EQ,107.55,108.8,106.1,106.6,106.8,106.75,378198,40546213.7,19-NOV-2012	
198853,GEOMETRIC,EQ,84.15,85.5,83.05,83.5,83.6,84.7,82484,6950943.75,19-NOV-2013	
200704,GEOMETRIC,EQ,141.75,145.0,133.5,134.65,134.7,138.2,1923516,269790563.0,19-NOV-2014	
202647,GEOMETRIC,EQ,66.0,70.35,65.0,66.35,66.0,64.95,372974,25433685.0,19-OCT-2010	
204217,GEOMETRIC,EQ,118.0,118.0,114.4,114.9,114.9,118.85,269511,31279958.85,03-APR-2014	
204464,GEOMETRIC,EQ,45.9,46.0,44.5,44.75,44.5,44.65,47327,2127929.0,19-OCT-2011	
206327,GEOMETRIC,EQ,113.75,118.35,113.25,116.35,116.05,113.85,580214,67369412.7,19-OCT-2012	
208269,GEOMETRIC,EQ,40.4,42.3,40.4,41.95,42.0,41.8,17742,738930.4,19-SEP-2011	
210094,GEOMETRIC,EQ,77.95,78.0,76.05,76.75,77.5,75.15,30425,2337022.55,19-SEP-2013	
